XVG ,$ Aedge Group                 
PGBW,HSI 5xLongUB270831            
CZRW,HSI 5xShortSG261029           
WIEW,HSI 5xShortSG280330           
LOAW,HSI 5xShortUB270226           
ZOGW,HSI 7xLongSG270623            
TNUW,HSI 7xLongSG271116            
XH2W,HSI 7xLongUB270226            
50SW,HSI 7xLongUB280331            
VHXW,HSI 7xShortSG261105           
EUCW,HSI 7xShortSG270309           
LZJW,HSI 7xShortSG270729           
X3FW,HSI 7xShortSG280202           
YNVW,HSI 7xShortUB270630           
SDWW,HSI 7xShortUB280229           
UTOW,HSI 7xShortUB280331           
ECJW,HSTECH 3xLongSG280309         
Y9GW,HSTECH 3xShortSG280309        
CWUW,HSTECH 5xLongSG261029         
NILW,HSTECH 5xLongSG280413         
KIHW,HSTECH 5xLongUB270831         
YVRW,HSTECH 5xShortSG261105        
HKRW,HSTECH 5xShortSG280330        
JGKW,HSTECH 5xShortUB270226        
UMCW,HSTECH 7xLongSG261105         
WYHW,HSTECH 7xLongSG261105A        
YPCW,HSTECH 7xLongSG270331         
SYHW,HSTECH 7xLongSG271216         
XRXW,HSTECH 7xLongSG280316         
XQ4W,HSTECH 7xLongSG280622         
ONRW,HSTECH 7xLongUB270226         
ODUW,HSTECH 7xLongUB280229         
W8OW,HSTECH 7xShortSG261105        
9B2W,HSTECH 7xShortSG270309        
FNTW,HSTECH 7xShortSG270729        
XNOW,HSTECH 7xShortSG280120        
XHMW,HSTECH 7xShortUB261130        
56LW,HSTECH 7xShortUB270730        
1P8W,HSTECH 7xShortUB280229        
5VS ,Hafary                        
5VJ ,Halcyon Agri                  
H02 ,Haw Par                       
40B ,HealthBank                    
5OR ,Heatec Jietong                
5DP ,Heeton                        
HLS ,Helens                        
5PD ,Hengyang Petro                
8A1 ,Heptamax                      
5JK ,Hiap Hoe                      
1L2 ,Hiap Seng Ind                 
5PO ,Hiap Tong                     
H13 ,Ho Bee Land                   
J2T ,Hock Lian Seng                
H20 ,Hoe Leong                     
H30 ,Hong Fok                      
CTO ,Hong Lai Huat                 
H22 ,Hong Leong Asia               
S41 ,Hong Leong Fin                
H78 ,HongkongLand USD              
BBP ,Hor Kew                       
HHZD,HorizonRobo HK SDR1to1        
5EV ,Hosen                         
H18 ,Hotel Grand                   
H12 ,Hotel Royal                   
BLS ,Hotung Inv                    
41B ,Huationg Global               
600 ,Hyflux                        
N2H ,Hyflux 6% CPS#                
BTWZ,Hyflux 6% PerCapSec#          
1J5 ,Hyphens Pharma                
CYC ,ICBC CSOP CGB ETF S$          
CYX ,ICBC CSOP CGB ETF US$A        
CYB ,ICBC CSOP CGB ETF US$D        
IICD,IDFD CBP ID SDR 1to2          
AIY ,IFAST                         
I49 ,IFS Capital                   
Q0F ,IHH                           
AZA ,IPC Corp                      
42N ,IPS Securex                   
8U7U,IREIT Global EUR              
UD1U,IREIT Global SGD              
QL2 ,IS ASIA BND S$D               
N6M ,IS ASIA BND US$               
QL3 ,IS ASIA HYG S$D               
O9P ,IS ASIA HYG US$               
QK9 ,IS INDIA CLIMATE S$D          
I98 ,IS INDIA CLIMATE US$          
I07 ,ISDN                          
40T ,ISEC                          
ICM ,ISHARES AXJCLIMATE S$         
ICU ,ISHARES AXJCLIMATE US$        
5WF ,ISOTeam                       
42C ,IX Biopharma                  
RDR ,Incredible                    
5JS ,Indofood Agri                 
ZBA ,Infinity Dev                  
ITS ,Info-Tech                     
M14 ,InnoTek                       
9DWW,Intel 3xLongSG280726          
JRYW,Intel 3xShortSG280726         
5GI ,Interra Resource              
KUO ,Intl Cement                   
I06 ,Intraco                       
J0T ,Inv Beve Biz EURO S           
BEW ,JB Foods                      
EUZW,JD 5xLongSG261027             
YPKW,JD 5xLongSG280524             
YDKW,JD 5xLongUB271126             
PBDW,JD 5xShortSG280120            
HJDD,JD HK SDR 10to1               
1J4 ,JEP                           
NMNW,JMH MB eCW261229              
LVSW,JMH MB eCW270226              
J36 ,JMH USD                       
J03 ,Jadason                       
5OI ,Japan Foods                   
C07 ,Jardine C&C                   
5PF ,Jason Marine                  
1J7 ,Jawala                        
C8R ,Jiutian Chemical              
E9L ,Joyas Intl                    
NHD ,Jubilee                       
42R ,Jumbo                         
JCO ,JustCo                        
KIN ,KIN                           
5I1 ,KOP                           
CMOU,KOREReitUSD                   
ER0 ,KSH                           
XCF ,KTMG                          
K29 ,Karin Tech                    
TKKD,Kasikorn BK TH SDR1to1        
1A0 ,Katrina                       
A95W,Katrina W281008               
BNE ,Kencana Agri                  
5TT ,Keong Hong                    
A7RU,Kep Infra Tr                  
BN4 ,Keppel                        
GSEW,Keppel 5xLongSG270706         
YPLW,Keppel 5xLongSG280725         
JCDW,Keppel 5xLongUB270730         
YKEW,Keppel 5xShortSG270706        
YCRW,Keppel 5xShortSG280725        
JIGW,Keppel 5xShortUB270831        
AJBU,Keppel DC Reit                
K71U,Keppel Reit                   
IVKW,KeppelMBeCW260930             
KZDW,KeppelMBeCW261015             
94BW,KeppelMBeCW261230             
UWQW,KeppelMBeCW270226             
YSV ,Khen Energy                   
K03 ,Khong Guan                    
5G2 ,Kim Heng                      
1D0 ,Kimly                         
554 ,King Wan                      
5MZ ,KingsmenCreative              
BJZ ,Koda                          
K75 ,Koh Bros                      
5HV ,Koh Eco                       
5VC ,Kori                          
5OC ,Koyo Intl                     
VLLW,Kuaisho 5xLongSG261217        
9BCW,Kuaisho 5xLongSG280223        
PONW,Kuaisho 5xLongSG280316        
QECW,Kuaisho 5xLongUB261030        
JIYW,Kuaisho 5xLongUB280731        
HSLW,Kuaisho 5xShortSG270127       
QPSW,Kuaisho 5xShortSG280120       
9BMW,Kuaisho 5xShortUB261030       
NMDW,Kuaisho 5xShortUB270831       
GFYW,Kuaisho MB eCW261005          
HKUD,Kuaishou HK SDR 5to1          
41O ,LHN                           
BEI ,LHT                           
JHFW,LION-PHILLIP MBeCW261229      
CLR ,LION-PHILLIP S-REIT           
LMS ,LMS Compliance                
ENV ,LS 2 Holdings                 
1H8 ,LY Corp                       
D5IU,Landmark REIT                 
HLPD,Laopu Gld HK SDR 50to1        
E6R ,Le Tree Holdings              
LS9 ,Leader Env                    
JYEU,Lendlease Reit                
TDDW,Lenovo 5xLongSG261027         
X2GW,Lenovo 5xLongSG280223         
QSTW,Lenovo 5xLongUB270630         
LGH ,Leong Guan Hldgs              
Q0X ,Ley Choon                     
BFT ,Lincotrade                    
BAZ ,Lion Asiapac                  
GLS ,Lion SG Phy Gold S$           
GLU ,Lion SG Phy Gold US$          
ICH ,Lion-CM CSI Div CNY           
INC ,Lion-CM CSI Div S$            
EAA ,Lion-CM EM Asia S$            
EAU ,Lion-CM EM Asia US$           
HST ,Lion-OCBC Sec HSTECH S$       
HSS ,Lion-OCBC Sec HSTECH US$      
YLD ,Lion-OSPL APAC Fin S$         
YLU ,Lion-OSPL APAC Fin US$        
YYR ,Lion-OSPL China L CNY         
YYY ,Lion-OSPL China L S$          
ESG ,Lion-OSPL Low Carbon S$       
ESU ,Lion-OSPL Low Carbon US$      
PRH ,Livingstone                   
O6Z ,Lonza                         
5IE ,Lorenzo Intl                  
L19 ,Lum Chang                     
LCC ,Lum Chang Creat               
5UA ,Luminor                       
BKK ,Luxking                       
Y3D ,MDR Limited                   
8A3W,MDR Limited W310520           
USDW,META 3xLongSG261006           
USTW,META 3xLongSG261204US$        
USFW,META 3xShortSG261006          
USUW,META 3xShortSG261204US$       
SBWW,META 5xLongSG280726           
1R9W,META 5xShortSG280726          
9MT ,METAOPTICS LTD                
M11 ,MFG Integration               
1B0 ,MM2 Asia                      
NPW ,MSC                           
USGW,MSFT 3xLongSG261006           
USWW,MSFT 3xLongSG261204US$        
USHW,MSFT 3xShortSG261006          
USXW,MSFT 3xShortSG261204US$       
45GW,MSFT 5xLongSG280726           
ZDLW,MSFT 5xShortSG280726          
51O ,MSMIntl                       
M05 ,MTQ                           
F86 ,MYP                           
BTOU,ManulifeReit USD              
ME8U,Mapletree Ind Tr              
M44U,Mapletree Log Tr              
N2IU,Mapletree PanAsia Com Tr      
5LY ,MarcoPolo Marine              
M12 ,Maruwa Yen1k                  
5OX ,Mary Chia                     
SJY ,MeGroup                       
Z4D ,MediLifestyle                 
OTX ,Medinex                       
546 ,Medtecs Intl                  
5DS ,MegaChem                      
UOLW,Meituan 5xLongSG261027        
PSIW,Meituan 5xLongSG280120        
93RW,Meituan 5xLongSG280622        
EOPW,Meituan 5xLongUB270831        
IJWW,Meituan 5xShortSG280120       
UZGW,Meituan 5xShortUB280731       
HMTD,Meituan HK SDR 5to1           
TWWW,Meituan MB eCW261103          
TWL ,Memiontec Hldgs               
57XW,Memiontec W280512             
5NF ,Mencast                       
5RF ,Mercurius                     
DU4 ,Mermaid Maritime              
5DX ,Meta Health                   
V3M ,Metech Intl                   
L02 ,Metis Energy                  
M01 ,Metro                         
WYO ,Metrocon                      
MV4 ,Mewah Intl                    
5DD ,Micro-Mechanics               
VV9W,Micron 3xLongSG280622         
44BW,Micron 3xLongSG280913         
1J9W,Micron 3xShortSG280622        
RLGW,Micron 3xShortSG280913        
CNE ,MindChamps                    
M03 ,Miyoshi                       
5WJ ,MoneyMax Fin                  
1V3 ,Mooreast                      
AWZ ,Multi-Chem                    
MF6 ,Mun Siong Engg                
IRRS,N521100V 261101               
EJUS,N522100N 270901               
SHVS,N523100W 280801               
FYFS,N524100X 290401               
GEXS,N525100T 300401               
PH1S,NA12100N 420401               
BJGS,NA16100H 460301               
ZL8S,NA20100F 500301               
ZFGS,NA21200W 511001               
9W8B,NA24300E 540601               
WIBW,NASDAQ 21500MBePW260918       
Y3KW,NASDAQ 26000MBeCW260918       
YVJW,NASDAQ 26000MBePW260918       
ERFW,NASDAQ 27000MBePW261218       
EFKW,NASDAQ 31000MBeCW260918       
KRIW,NASDAQ 32000MBeCW261218       
MOFB,NC22300W 720801               
QHTW,NIO 5xLongSG271021            
56WW,NIO 5xLongSG280622            
NIO ,NIO Inc. USD OV               
HXQW,NIO MBeCW270120               
ROJW,NKY 50000MBePW261211          
RAGW,NKY 57000MBePW261211          
WZTW,NKY 64000MBePW261211          
FSQW,NKY 67000MBeCW261211          
KVPW,NKY 71000MBePW261211          
JKHW,NKY 74000MBeCW261211          
ZY2W,NKY 81000MBeCW261211          
JSNW,NKY 88000MBeCW261211          
N02 ,NSL                           
NTDU,NTT DC REIT USD               
NVIW,NVDA 3xLongSG261006           
NVTW,NVDA 3xLongSG261204US$        
ZKPW,NVDA 3xLongSG281123           
NVDW,NVDA 3xShortSG261006          
NVUW,NVDA 3xShortSG261204US$       
KODW,NVDA 3xShortSG281123          
KJHW,NVDA 5xLongSG280726           
VU6W,NVDA 5xShortSG280726          
CMGS,NX18100A 280501               
RXYS,NX21100N 310701               
EAPS,NX22100W 320801               
STTS,NX24100T 340501               
R87S,NX25100H 350301               
T8FS,NY14100E 290701               
EUTS,NY25200N 400701               
7QQS,NZ07100S 270301               
OL9S,NZ10100F 300901               
R1NS,NZ13100V 330901               
BJIS,NZ16100X 360801               
8YLS,NZ19100S 390701               
ZFOB,NZ26300E 460801               
