1373,IH RETAIL
1375,CC SECURITIES
1376,RAFFLESINTERIOR
1377,DTECH
1378,CHINAHONGQIAO
1379,WENLING MCT
1380,CHI KINGSTONE
1382,PACIFICTEXTILES
1384,DEEPEXI TECH
1385,SHANGHAI FUDAN
1388,EMBRY HOLDINGS
1389,MAJOR HLDGS
1392,HQVT
1393,HIDILI INDUSTRY
1395,ELL ENV
1396,GBA AI COMP-500
1397,BAGUIO GREEN
1398,ICBC
1399,VESON HLDG
1400,MOODY TECH HLDG
1401,FUTURE MACH LTD
1402,I-CONTROL
1405,DPC DASH
1406,CLARITY MEDICAL
1407,JY GAS
1408,MACAU E&M
1410,EDVANCE INTL
1412,Q P GROUP
1413,FEG HOLDINGS
1415,COWELL
1416,CTR HOLDINGS
1417,RIVERINE CHINA
1418,SINOMAX GROUP
1419,HUMAN HEALTH
1420,CHUAN HOLDING
1421,PROSP GP INTL
1425,JUSTIN ALLEN H
1426,SPRING REIT
1427,CH TIANBAO GP
1428,BRIGHT SMART
1429,SKYMISSION GP
1431,YST DAIRY
1432,CHINASHENGMU-PF
1433,CIRTEK HLDGS
1440,STAR SHINE HLDG
1442,INFINITY L&T
1443,FULUM GP HLDG
1446,HUNGFOOKTONG
1447,SFK
1448,FU SHOU YUAN
1449,LEADER EDU
1450,BE FRIENDS HLDG
1451,MS GROUP HLDGS
1452,DENOX ENV
1455,FOURACE IND GP
1456,GLMS SEC
1458,ZHOU HEI YA
1459,JUJIANG CONS
1460,ICO GROUP
1461,ZHONGTAIFUTURES
1463,C-LINK SQ
1466,BAIJIN LIFE SCI
1468,JAKOTA CAPITAL
1470,PROSPER ONE
1471,ZHONGMIAO
1472,SANG HING HLDGS
1473,PANGAEA CONNECT
1475,NISSIN FOODS
1476,FIN STREET SEC
1477,OCUMENSION-B
1478,Q TECH
1480,YAN TAT GROUP
1481,SMART GLOBE
1483,NET-A-GO TECH
1486,C CHENG HLDGS
1488,BEST FOOD HLDG
1489,GC CONSTRUCTION
1490,AI X TECH
1496,AP RENTALS
1497,YAN PALACE
1498,PURAPHARM
1499,OKG TECH
